Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;2º Suplente;5975;Dr. Guimarães;;;;;;
;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;;;;2920;2019-02-01;;;;
3777;872;Eduardo Gomes;Carlos Eduardo Torres Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777;;sen.eduardogomes@senado.leg.br;PL;TO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;568;TO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;568;TO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;1º Suplente;6005;Siqueira Campos;;;;;;
;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;2º Suplente;6006;Ogari Pacheco;;;;;;
;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;;;;2998;2022-11-11;;;;
;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;;;;2947;2019-08-15;2022-07-18;LCS;Licença com convocação de suplente (sup 120 dias);2019-08-15
;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;;;;2894;2019-02-01;2019-07-12;AFO;Afastamento do exercício;2019-07-12
5902;54;Eduardo Velloso;Eduardo Ovídio Borges de Velloso Vianna;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5902.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5902;https://www.camara.leg.br/deputados/220589;dep.eduardovelloso@camara.leg.br;UNIÃO;AC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;1º Suplente;Titular;285;Marcio Bittar;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;1º Suplente;;;;2º Suplente;5904;Macapá;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;1º Suplente;;;;;;;2979;2022-05-31;2022-10-14;RET;Retorno do titular;
4642;878;Efraim Filho;Efraim de Araújo Morais Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642;;sen.efraimfilho@senado.leg.br;UNIÃO;PB;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;Titular;;;;1º Suplente;6366;Andre Amaral;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;Titular;;;;2º Suplente;6367;Erik Marinho;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;Titular;;;;;;;3009;2023-02-01;;;;
5898;936;Eliane Nogueira;Eliane e Silva Nogueira Lima;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898;;sen.elianenogueira@senado.leg.br;PP;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;Titular;739;Ciro Nogueira;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;;;;2º Suplente;5900;Gil Paraibano;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;;;;;;;2968;2021-07-28;2022-12-29;RET;Retorno do titular;
5718;806;Eliziane Gama;Eliziane Pereira Gama Melo;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718;;sen.elizianegama@senado.leg.br;PSD;MA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;1º Suplente;674;Pedro Fernandes;;;;;;
;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;2º Suplente;4979;Bene Camacho;;;;;;
;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;;;;2900;2019-02-01;;;;
6025;;Enfermeira Roberta;Roberta Leontina Xisto Acioly;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;1º Suplente;Titular;6027;Mecias de Jesus;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;1º Suplente;;;;2º Suplente;6026;Afonso Parente;;;;;;
6367;;Erik Marinho;Erik Janson Vieira Monteiro Marinho;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;2º Suplente;Titular;4642;Efraim Filho;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;2º Suplente;;;;1º Suplente;6366;Andre Amaral;;;;;;
22;882;Esperidião Amin;Esperidião Amin Helou Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/22;;sen.esperidiaoamin@senado.leg.br;PP;SC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;1º Suplente;196;Geraldo Althoff;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;2º Suplente;6012;Denise dos Santos;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;;;;2901;2019-02-01;;;;
5953;835;Fabiano Contarato;Fabiano Contarato;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953;;sen.fabianocontarato@senado.leg.br;PT;ES;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;1º Suplente;5950;Ana Paula Tongo;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;2º Suplente;5952;Bento;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;;;;2902;2019-02-01;;;;
5740;408;Fabio Garcia;Fabio Paulino Garcia;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5740.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5740;;sen.fabiogarcia@senado.leg.br;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;1º Suplente;Titular;4531;Jayme Campos;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;1º Suplente;;;;2º Suplente;5960;Cândida Farias;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;1º Suplente;;;;;;;2977;2022-04-06;2022-07-29;RET;Retorno do titular;
5980;;Fernando Carvalho;Fernando Luiz Prado Carvalho Junior;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;1º Suplente;Titular;5982;Alessandro Vieira;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;1º Suplente;;;;2º Suplente;5981;Major Ildomario;;;;;;
6384;;Fernando Carvalho;Antonio Fernando Pereira de Carvalho;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;2º Suplente;Titular;4811;Laércio Oliveira;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;2º Suplente;;;;1º Suplente;6383;Janier;;;;;;
5917;923;Fernando Dueire;Fernando Antonio Caminha Dueire;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917;;sen.fernandodueire@senado.leg.br;MDB;PE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;1º Suplente;Titular;4545;Jarbas Vasconcelos;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;1º Suplente;;;;2º Suplente;5918;Adilson Gomes;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;1º Suplente;;;;;;;3000;2022-12-07;;;;
6345;929;Fernando Farias;Fernando Lopes de Farias;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345;;sen.fernandofarias@senado.leg.br;MDB;AL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;;;;1º Suplente;Titular;5207;Renan Filho;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;;;;1º Suplente;;;;2º Suplente;6346;Adélia Maria;;;;;;
;;;;;;;;;;;;597;AL;;;;;;;1º Suplente;;;;;;;3040;2023-02-02;;;;
5920;;Flavio Vicente;Flavio Marcelo Gonçalves Vicente;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;;;;;;;2º Suplente;Titular;345;Flávio Arns;;;;;;;;;
;;;;;;;;;;;;540;PR;;;;;;;2º Suplente;;;;1º Suplente;5919;Vilson Basso;;;;;;
345;856;Flávio Arns;Flávio José Arns;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/345;http://www.flavioarns.com.br;sen.flavioarns@senado.leg.br;PSB;PR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;1º Suplente;5919;Vilson Basso;;;;;;
;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;2º Suplente;5920;Flavio Vicente;;;;;;
;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;;;;2903;2019-02-01;;;;
6374;;Flávio Azevedo;Flávio José Cavalcanti de Azevedo;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;;;;1º Suplente;Titular;4694;Rogerio Marinho;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;;;;1º Suplente;;;;2º Suplente;6375;Igor Targino;;;;;;
5894;841;Flávio Bolsonaro;Flávio Nantes Bolsonaro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894;;sen.flaviobolsonaro@senado.leg.br;PL;RJ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;1º Suplente;5901;Paulo Marinho;;;;;;
;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;2º Suplente;5903;Leonardo Rodrigues;;;;;;
;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;;;;2904;2019-02-01;;;;
4605;871;Flávio Dino;Flávio Dino de Castro e Costa;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4605.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4605;;sen.flaviodino@senado.leg.br;PSB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;Titular;;;;1º Suplente;6358;Ana Paula Lobato;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;Titular;;;;2º Suplente;6359;Lourdinha;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;Titular;;;;;;;3013;2023-02-01;2023-02-02;AFO;Afastamento do exercício;
6368;;Francisco Alexandre;Francisco Ferreira Alexandre;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;606;PE;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;606;PE;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;606;PE;;;;;;;2º Suplente;Titular;6338;Teresa Leitão;;;;;;;;;
;;;;;;;;;;;;606;PE;;;;;;;2º Suplente;;;;1º Suplente;4768;Silvio Costa;;;;;;
6343;;Gemil Junior;Gemil Salim de Abreu Junior;Masculino;Senador;;;;;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;1º Suplente;Titular;5672;Alan Rick;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;1º Suplente;;;;2º Suplente;6344;Coronel Casagrande;;;;;;
196;;Geraldo Althoff;Geraldo César Althoff;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador196.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/196;;althoff@senado.leg.br;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;1º Suplente;Titular;22;Esperidião Amin;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;1º Suplente;;;;2º Suplente;6012;Denise dos Santos;;;;;;
5900;;Gil Paraibano;Gil Marques de Medeiros;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;2º Suplente;Titular;739;Ciro Nogueira;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;2º Suplente;;;;1º Suplente;5898;Eliane Nogueira;;;;;;
6008;935;Giordano;Alexandre Luiz Giordano;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008;;sen.giordano@senado.leg.br;MDB;SP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;;;;;;;1º Suplente;Titular;5666;Major Olimpio;;;;;;;;;
;;;;;;;;;;;;570;SP;;;;;;;1º Suplente;;;;;;;2966;2021-03-31;;;;
6341;894;Hamilton Mourão;Antonio Hamilton Martins Mourão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341;;sen.hamiltonmourao@senado.leg.br;REPUBLICANOS;RS;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;Titular;;;;1º Suplente;6112;Liziane Bayer;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;Titular;;;;2º Suplente;6380;Coronel Andreuzza;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;Titular;;;;;;;3033;2023-02-01;;;;
5999;;Helenilson Pontes;Helenilson Cunha Pontes;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;1º Suplente;Titular;35;Jader Barbalho;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;1º Suplente;;;;2º Suplente;6000;Chamon;;;;;;
5907;;Henrique Arruda;Henrique Arruda Guimarães;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;;;;2º Suplente;Titular;5905;Rodrigo Cunha;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;;;;2º Suplente;;;;1º Suplente;5906;Dra. Eudócia;;;;;;
6381;;Hermes Klann;Hermes Artur Klann;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;1º Suplente;Titular;6342;Jorge Seif;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;1º Suplente;;;;2º Suplente;6382;Adrian da Blukit;;;;;;
6349;;Hildinha Menezes;Hilda Maria Monteiro de Menezes Oliveira;Feminino;Senadora;;;;;PSD;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;622;BA;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;622;BA;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;622;BA;;;;;;;2º Suplente;Titular;5523;Otto Alencar;;;;;;;;;
;;;;;;;;;;;;622;BA;;;;;;;2º Suplente;;;;1º Suplente;6348;Terence Lessa;;;;;;
5008;824;Humberto Costa;Humberto Sérgio Costa Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008;http://www.senadorhumberto.com.br/;sen.humbertocosta@senado.leg.br;PT;PE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;1º Suplente;5914;Waldemar Oliveira;;;;;;
;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;2º Suplente;5915;Marcia do Angico;;;;;;
;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;;;;2907;2019-02-01;;;;
6357;;Hélio Araújo;Hélio Araújo Pereira;Masculino;Senador;;;;;PL;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;;;;2º Suplente;Titular;5070;Wilder Morais;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;;;;2º Suplente;;;;1º Suplente;6356;Izaura Cardoso;;;;;;
6375;;Igor Targino;Igor Augusto Fernandes Targino;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;;;;2º Suplente;Titular;4694;Rogerio Marinho;;;;;;;;;
;;;;;;;;;;;;616;RN;;;;;;;2º Suplente;;;;1º Suplente;6374;Flávio Azevedo;;;;;;
5385;883;Irajá;Irajá Silvestre Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385;;sen.iraja@senado.leg.br;PSD;TO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;1º Suplente;6287;Marcos de Souza Costa;;;;;;
;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;2º Suplente;6004;Terciliano Gomes;;;;;;
;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;;;;2908;2019-02-01;;;;
6015;;Ireneu Orth;Ireneu Orth;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;1º Suplente;Titular;1186;Luis Carlos Heinze;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;1º Suplente;;;;2º Suplente;6016;Drica de Lucena;;;;;;
6007;;Ivani Boscolo;Ivani Perrone Boscolo;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
